Year,Period,Hierarchical Cluster,Direction,Feature,Standardized Mean
2019,Pre-COVID,0,high,"Agriculture, forestry, and fishing, value added (% of GDP)",0.794346438256168
2019,Pre-COVID,0,high,"Self-employed, total (% of total employment) (modeled ILO estimate)",0.7671701540933217
2019,Pre-COVID,0,high,"Personal remittances, received (% of GDP)",0.6780990252852676
2019,Pre-COVID,0,high,GDP growth (annual %),0.5586001495410906
2019,Pre-COVID,0,high,Domestic private health expenditure (% of current health expenditure),0.5214894573359742
2019,Pre-COVID,0,high,Gross capital formation (% of GDP),0.2154915288549619
2019,Pre-COVID,0,high,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.07085833722413534
2019,Pre-COVID,0,high,"School enrollment, primary (% gross)",0.02396596290491007
2019,Pre-COVID,0,low,Domestic general government health expenditure (% of current health expenditure),-0.7394946327189922
2019,Pre-COVID,0,low,Domestic general government health expenditure (% of GDP),-0.6738334254953762
2019,Pre-COVID,0,low,"Services, value added (% of GDP)",-0.5791420339705418
2019,Pre-COVID,0,low,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.5562990054334608
2019,Pre-COVID,0,low,Current health expenditure (% of GDP),-0.386083270989635
2019,Pre-COVID,0,low,Exports of goods and services (% of GDP),-0.3213167946373683
2019,Pre-COVID,0,low,"Manufacturing, value added (% of GDP)",-0.29872030099634445
2019,Pre-COVID,0,low,"Foreign direct investment, net inflows (% of GDP)",-0.15577915249392177
2019,Pre-COVID,1,high,Domestic general government health expenditure (% of current health expenditure),0.5206294292814679
2019,Pre-COVID,1,high,Domestic general government health expenditure (% of GDP),0.4902702556118049
2019,Pre-COVID,1,high,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.373135929987321
2019,Pre-COVID,1,high,"Services, value added (% of GDP)",0.3054052421246034
2019,Pre-COVID,1,high,Current health expenditure (% of GDP),0.28985419684898833
2019,Pre-COVID,1,high,"Manufacturing, value added (% of GDP)",0.2599885786260766
2019,Pre-COVID,1,high,Exports of goods and services (% of GDP),0.017574171180166555
2019,Pre-COVID,1,high,"School enrollment, primary (% gross)",2.6566647575327132e-05
2019,Pre-COVID,1,low,"Agriculture, forestry, and fishing, value added (% of GDP)",-0.5221428914831321
2019,Pre-COVID,1,low,"Self-employed, total (% of total employment) (modeled ILO estimate)",-0.5061205977558687
2019,Pre-COVID,1,low,"Personal remittances, received (% of GDP)",-0.4659197721490092
2019,Pre-COVID,1,low,GDP growth (annual %),-0.41795995851979273
2019,Pre-COVID,1,low,Domestic private health expenditure (% of current health expenditure),-0.3742405760888161
2019,Pre-COVID,1,low,Imports of goods and services (% of GDP),-0.1878715991546618
2019,Pre-COVID,1,low,"Foreign direct investment, net inflows (% of GDP)",-0.1728774741553095
2019,Pre-COVID,1,low,Gross capital formation (% of GDP),-0.12404558373919211
2019,Pre-COVID,2,high,"Foreign direct investment, net inflows (% of GDP)",4.596444628288532
2019,Pre-COVID,2,high,Exports of goods and services (% of GDP),3.494285598106414
2019,Pre-COVID,2,high,Imports of goods and services (% of GDP),3.1486829522658235
2019,Pre-COVID,2,high,Population density (people per sq. km of land area),3.045178610946527
2019,Pre-COVID,2,high,"Services, value added (% of GDP)",1.9184350251602114
2019,Pre-COVID,2,high,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.5663384340460121
2019,Pre-COVID,2,high,Domestic general government health expenditure (% of current health expenditure),0.3589910659446758
2019,Pre-COVID,2,high,GDP growth (annual %),0.12380757920886876
2019,Pre-COVID,2,low,"Agriculture, forestry, and fishing, value added (% of GDP)",-0.9792843857798664
2019,Pre-COVID,2,low,"Self-employed, total (% of total employment) (modeled ILO estimate)",-0.916319746502635
2019,Pre-COVID,2,low,"Manufacturing, value added (% of GDP)",-0.6498537213101865
2019,Pre-COVID,2,low,Gross capital formation (% of GDP),-0.5472961242187268
2019,Pre-COVID,2,low,"Personal remittances, received (% of GDP)",-0.5129471927177489
2019,Pre-COVID,2,low,"Unemployment, total (% of total labor force) (modeled ILO estimate)",-0.31833748513139115
2019,Pre-COVID,2,low,"School enrollment, primary (% gross)",-0.2820251304938349
2019,Pre-COVID,2,low,Domestic private health expenditure (% of current health expenditure),-0.1396519062766357
2020,Early COVID,0,high,Domestic general government health expenditure (% of GDP),0.4904758806931684
2020,Early COVID,0,high,Domestic general government health expenditure (% of current health expenditure),0.46842947786051037
2020,Early COVID,0,high,Current health expenditure (% of GDP),0.35709341993293475
2020,Early COVID,0,high,"Services, value added (% of GDP)",0.3466528367055219
2020,Early COVID,0,high,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.2850522113789905
2020,Early COVID,0,high,"Manufacturing, value added (% of GDP)",0.2319117634148074
2020,Early COVID,0,high,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.19751908813353516
2020,Early COVID,0,high,Exports of goods and services (% of GDP),0.115067217360491
2020,Early COVID,0,low,"Self-employed, total (% of total employment) (modeled ILO estimate)",-0.6001187961481357
2020,Early COVID,0,low,"Agriculture, forestry, and fishing, value added (% of GDP)",-0.5564686040108686
2020,Early COVID,0,low,"Personal remittances, received (% of GDP)",-0.3911174294928769
2020,Early COVID,0,low,Domestic private health expenditure (% of current health expenditure),-0.30569683545668813
2020,Early COVID,0,low,"Foreign direct investment, net inflows (% of GDP)",-0.12780117323341825
2020,Early COVID,0,low,GDP growth (annual %),-0.12166131891871944
2020,Early COVID,0,low,Population density (people per sq. km of land area),-0.10439584773415822
