,Pre-COVID C0,Pre-COVID C1,Pre-COVID C2,Early COVID C0,Early COVID C1,Early COVID C2,Mid-COVID C0,Mid-COVID C1,Mid-COVID C2,Mid-COVID C3
Pre-COVID C0,1.0,0.0,0.0,0.10679611650485436,0.6428571428571429,0.0,0.32051282051282054,0.0,0.0,0.4583333333333333
Pre-COVID C1,0.0,1.0,0.0,0.7236842105263158,0.09,0.0,0.34831460674157305,0.0,0.48484848484848486,0.011627906976744186
Pre-COVID C2,0.0,0.0,1.0,0.014285714285714285,0.0,0.75,0.0,0.5,0.05555555555555555,0.0
Early COVID C0,0.10679611650485436,0.7236842105263158,0.014285714285714285,1.0,0.0,0.0,0.3516483516483517,0.0,0.4852941176470588,0.022727272727272728
Early COVID C1,0.6428571428571429,0.09,0.0,0.0,1.0,0.0,0.3116883116883117,0.0,0.0,0.44680851063829785
Early COVID C2,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.6666666666666666,0.027777777777777776,0.0
Mid-COVID C0,0.32051282051282054,0.34831460674157305,0.0,0.3516483516483517,0.3116883116883117,0.0,1.0,0.0,0.0,0.0
Mid-COVID C1,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0
Mid-COVID C2,0.0,0.48484848484848486,0.05555555555555555,0.4852941176470588,0.0,0.027777777777777776,0.0,0.0,1.0,0.0
Mid-COVID C3,0.4583333333333333,0.011627906976744186,0.0,0.022727272727272728,0.44680851063829785,0.0,0.0,0.0,0.0,1.0
