Country Name,Pre-COVID,Early COVID,Mid-COVID
Algeria,0,0,0
Bosnia and Herzegovina,0,0,0
Cabo Verde,0,0,0
Jordan,0,0,0
Lesotho,0,0,0
Mauritius,0,0,0
Montenegro,0,0,0
North Macedonia,0,0,0
Serbia,0,0,0
Cambodia,0,0,3
Viet Nam,0,0,3
Belize,0,1,0
"Egypt, Arab Rep.",0,1,0
El Salvador,0,1,0
"Gambia, The",0,1,0
Georgia,0,1,0
Guatemala,0,1,0
Honduras,0,1,0
Kyrgyz Republic,0,1,0
Moldova,0,1,0
Morocco,0,1,0
Nepal,0,1,0
Philippines,0,1,0
Samoa,0,1,0
Timor-Leste,0,1,0
Tonga,0,1,0
Ukraine,0,1,0
Albania,0,1,3
Armenia,0,1,3
Azerbaijan,0,1,3
Benin,0,1,3
Bhutan,0,1,3
Burkina Faso,0,1,3
Cameroon,0,1,3
Cote d'Ivoire,0,1,3
Ghana,0,1,3
Guinea,0,1,3
India,0,1,3
Madagascar,0,1,3
Mongolia,0,1,3
Mozambique,0,1,3
Niger,0,1,3
Senegal,0,1,3
Sierra Leone,0,1,3
Tanzania,0,1,3
Togo,0,1,3
Uzbekistan,0,1,3
Argentina,1,0,0
Belarus,1,0,0
Brazil,1,0,0
Brunei Darussalam,1,0,0
Chile,1,0,0
China,1,0,0
Colombia,1,0,0
Indonesia,1,0,0
Kazakhstan,1,0,0
"Korea, Rep.",1,0,0
Malaysia,1,0,0
Mexico,1,0,0
Namibia,1,0,0
Oman,1,0,0
Panama,1,0,0
Poland,1,0,0
Qatar,1,0,0
Romania,1,0,0
Russian Federation,1,0,0
Saudi Arabia,1,0,0
South Africa,1,0,0
Thailand,1,0,0
Turkiye,1,0,0
Australia,1,0,2
Austria,1,0,2
Belgium,1,0,2
Costa Rica,1,0,2
Croatia,1,0,2
Czechia,1,0,2
Denmark,1,0,2
Estonia,1,0,2
Finland,1,0,2
France,1,0,2
Germany,1,0,2
Greece,1,0,2
Hungary,1,0,2
Iceland,1,0,2
Ireland,1,0,2
Israel,1,0,2
Italy,1,0,2
Japan,1,0,2
Latvia,1,0,2
Lithuania,1,0,2
Netherlands,1,0,2
New Zealand,1,0,2
Norway,1,0,2
Portugal,1,0,2
Slovak Republic,1,0,2
Slovenia,1,0,2
Spain,1,0,2
Sweden,1,0,2
Switzerland,1,0,2
United Kingdom,1,0,2
United States,1,0,2
Uruguay,1,0,2
Bolivia,1,1,0
Dominican Republic,1,1,0
Ecuador,1,1,0
Fiji,1,1,0
Nicaragua,1,1,0
Paraguay,1,1,0
Peru,1,1,0
Sri Lanka,1,1,0
Zimbabwe,1,1,3
Cyprus,2,0,2
Malta,2,2,1
Singapore,2,2,1
Luxembourg,2,2,2
