Country Name,Year,Period,Hierarchical Cluster,K-Means Cluster,OPTICS Cluster
Albania,2019,Pre-COVID,0,0,0
Algeria,2019,Pre-COVID,0,0,0
Argentina,2019,Pre-COVID,1,1,0
Armenia,2019,Pre-COVID,0,0,0
Australia,2019,Pre-COVID,1,1,0
Austria,2019,Pre-COVID,1,1,0
Azerbaijan,2019,Pre-COVID,0,0,0
Belarus,2019,Pre-COVID,1,1,0
Belgium,2019,Pre-COVID,1,1,0
Belize,2019,Pre-COVID,0,1,0
Benin,2019,Pre-COVID,0,0,0
Bhutan,2019,Pre-COVID,0,0,0
Bolivia,2019,Pre-COVID,1,1,0
Bosnia and Herzegovina,2019,Pre-COVID,0,1,0
Brazil,2019,Pre-COVID,1,1,0
Brunei Darussalam,2019,Pre-COVID,1,1,0
Burkina Faso,2019,Pre-COVID,0,0,0
Cabo Verde,2019,Pre-COVID,0,1,0
Cambodia,2019,Pre-COVID,0,0,0
Cameroon,2019,Pre-COVID,0,0,0
Chile,2019,Pre-COVID,1,1,0
China,2019,Pre-COVID,1,0,0
Colombia,2019,Pre-COVID,1,1,0
Costa Rica,2019,Pre-COVID,1,1,0
Cote d'Ivoire,2019,Pre-COVID,0,0,0
Croatia,2019,Pre-COVID,1,1,0
Cyprus,2019,Pre-COVID,2,2,0
Czechia,2019,Pre-COVID,1,1,0
Denmark,2019,Pre-COVID,1,1,0
Dominican Republic,2019,Pre-COVID,1,0,0
Ecuador,2019,Pre-COVID,1,1,0
"Egypt, Arab Rep.",2019,Pre-COVID,0,0,0
El Salvador,2019,Pre-COVID,0,1,0
Estonia,2019,Pre-COVID,1,1,0
Fiji,2019,Pre-COVID,1,1,0
Finland,2019,Pre-COVID,1,1,0
France,2019,Pre-COVID,1,1,0
"Gambia, The",2019,Pre-COVID,0,0,0
Georgia,2019,Pre-COVID,0,0,0
Germany,2019,Pre-COVID,1,1,0
Ghana,2019,Pre-COVID,0,0,0
Greece,2019,Pre-COVID,1,1,0
Guatemala,2019,Pre-COVID,0,0,0
Guinea,2019,Pre-COVID,0,0,0
Honduras,2019,Pre-COVID,0,0,0
Hungary,2019,Pre-COVID,1,1,0
Iceland,2019,Pre-COVID,1,1,0
India,2019,Pre-COVID,0,0,0
Indonesia,2019,Pre-COVID,1,0,0
Ireland,2019,Pre-COVID,1,1,0
Israel,2019,Pre-COVID,1,1,0
Italy,2019,Pre-COVID,1,1,0
Japan,2019,Pre-COVID,1,1,0
Jordan,2019,Pre-COVID,0,1,0
Kazakhstan,2019,Pre-COVID,1,1,0
"Korea, Rep.",2019,Pre-COVID,1,1,0
Kyrgyz Republic,2019,Pre-COVID,0,0,0
Latvia,2019,Pre-COVID,1,1,0
Lesotho,2019,Pre-COVID,0,1,0
Lithuania,2019,Pre-COVID,1,1,0
Luxembourg,2019,Pre-COVID,2,2,0
Madagascar,2019,Pre-COVID,0,0,0
Malaysia,2019,Pre-COVID,1,1,0
Malta,2019,Pre-COVID,2,2,0
Mauritius,2019,Pre-COVID,0,1,0
Mexico,2019,Pre-COVID,1,1,0
Moldova,2019,Pre-COVID,0,0,0
Mongolia,2019,Pre-COVID,0,0,0
Montenegro,2019,Pre-COVID,0,1,0
Morocco,2019,Pre-COVID,0,0,0
Mozambique,2019,Pre-COVID,0,0,0
Namibia,2019,Pre-COVID,1,1,0
Nepal,2019,Pre-COVID,0,0,0
Netherlands,2019,Pre-COVID,1,1,0
New Zealand,2019,Pre-COVID,1,1,0
Nicaragua,2019,Pre-COVID,1,1,0
Niger,2019,Pre-COVID,0,0,0
North Macedonia,2019,Pre-COVID,0,1,0
Norway,2019,Pre-COVID,1,1,0
Oman,2019,Pre-COVID,1,1,0
Panama,2019,Pre-COVID,1,1,0
Paraguay,2019,Pre-COVID,1,1,0
Peru,2019,Pre-COVID,1,1,0
Philippines,2019,Pre-COVID,0,0,0
Poland,2019,Pre-COVID,1,1,0
Portugal,2019,Pre-COVID,1,1,0
Qatar,2019,Pre-COVID,1,1,0
Romania,2019,Pre-COVID,1,1,0
Russian Federation,2019,Pre-COVID,1,1,0
Samoa,2019,Pre-COVID,0,1,0
Saudi Arabia,2019,Pre-COVID,1,1,0
Senegal,2019,Pre-COVID,0,0,0
Serbia,2019,Pre-COVID,0,1,0
Sierra Leone,2019,Pre-COVID,0,0,0
Singapore,2019,Pre-COVID,2,2,0
Slovak Republic,2019,Pre-COVID,1,1,0
Slovenia,2019,Pre-COVID,1,1,0
South Africa,2019,Pre-COVID,1,1,0
Spain,2019,Pre-COVID,1,1,0
Sri Lanka,2019,Pre-COVID,1,0,0
Sweden,2019,Pre-COVID,1,1,0
Switzerland,2019,Pre-COVID,1,1,0
Tanzania,2019,Pre-COVID,0,0,0
Thailand,2019,Pre-COVID,1,1,0
Timor-Leste,2019,Pre-COVID,0,0,0
Togo,2019,Pre-COVID,0,0,0
Tonga,2019,Pre-COVID,0,0,0
Turkiye,2019,Pre-COVID,1,1,0
Ukraine,2019,Pre-COVID,0,1,0
United Kingdom,2019,Pre-COVID,1,1,0
United States,2019,Pre-COVID,1,1,0
Uruguay,2019,Pre-COVID,1,1,0
Uzbekistan,2019,Pre-COVID,0,0,0
Viet Nam,2019,Pre-COVID,0,0,0
Zimbabwe,2019,Pre-COVID,1,0,0
