Country Name,Mobility Type,Average Peer Retention,Pre-COVID to Early COVID Peer Jaccard,Early COVID to Mid-COVID Peer Jaccard,Pre-COVID to Mid-COVID Peer Jaccard,Pre-COVID,Early COVID,Mid-COVID
Cyprus,high mobility,0.168727789623312,0.0,0.47761194029850745,0.02857142857142857,2,0,2
Zimbabwe,high mobility,0.171863563167911,0.08080808080808081,0.43478260869565216,0.0,1,1,3
Cambodia,high mobility,0.18544732639937853,0.09803921568627451,0.011494252873563218,0.44680851063829785,0,0,3
Viet Nam,high mobility,0.18544732639937853,0.09803921568627451,0.011494252873563218,0.44680851063829785,0,0,3
Luxembourg,high mobility,0.23174603174603173,0.6666666666666666,0.0,0.02857142857142857,2,2,2
Bolivia,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Dominican Republic,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Ecuador,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Fiji,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Nicaragua,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Paraguay,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Peru,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Sri Lanka,high mobility,0.2414495835548467,0.08080808080808081,0.3026315789473684,0.3409090909090909,1,1,0
Algeria,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Bosnia and Herzegovina,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Cabo Verde,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Jordan,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Lesotho,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Mauritius,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Montenegro,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
North Macedonia,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Serbia,high mobility,0.2513906572730102,0.09803921568627451,0.34444444444444444,0.3116883116883117,0,0,0
Belize,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
"Egypt, Arab Rep.",moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
El Salvador,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
"Gambia, The",moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Georgia,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Guatemala,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Honduras,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Kyrgyz Republic,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
