feature,missing_share
Expenditure on primary education (% of government expenditure on education),0.9984639016897081
Expenditure on secondary education (% of government expenditure on education),0.9984639016897081
Expenditure on tertiary education (% of government expenditure on education),0.9984639016897081
"School enrollment, secondary (% net)",0.9953917050691244
"Pupil-teacher ratio, secondary",0.9938556067588326
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),0.9262672811059908
Human capital index (HCI) (scale 0-1),0.7327188940092166
"Central government debt, total (% of GDP)",0.7127496159754224
Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),0.6728110599078341
Gini index,0.6728110599078341
"Current education expenditure, total (% of total expenditure in public institutions)",0.6559139784946236
Total reserves (% of total external debt),0.5376344086021505
"Hospital beds (per 1,000 people)",0.5069124423963134
Real interest rate (%),0.4807987711213518
"Physicians (per 1,000 people)",0.46543778801843316
Public and publicly guaranteed debt service (% of GNI),0.45622119815668205
Short-term debt (% of total external debt),0.4470046082949309
Tax revenue (% of GDP),0.3901689708141321
Expense (% of GDP),0.3901689708141321
"School enrollment, tertiary (% gross)",0.3763440860215054
Bank capital to assets ratio (%),0.36251920122887865
Bank nonperforming loans to total gross loans (%),0.35176651305683565
Bank liquid reserves to bank assets ratio (%),0.3425499231950845
"School enrollment, secondary (% gross)",0.3425499231950845
"School enrollment, primary (% gross)",0.2304147465437788
Gross capital formation (% of GDP),0.2073732718894009
Imports of goods and services (% of GDP),0.1674347158218126
Exports of goods and services (% of GDP),0.1674347158218126
"Foreign direct investment, net inflows (% of GDP)",0.14285714285714285
"Manufacturing, value added (% of GDP)",0.13978494623655913
"Self-employed, total (% of total employment) (modeled ILO estimate)",0.1382488479262673
"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.1382488479262673
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.1382488479262673
Domestic private health expenditure (% of current health expenditure),0.1382488479262673
Domestic general government health expenditure (% of current health expenditure),0.1382488479262673
Domestic general government health expenditure (% of GDP),0.1382488479262673
Current health expenditure (% of GDP),0.1382488479262673
"Agriculture, forestry, and fishing, value added (% of GDP)",0.10291858678955453
"Services, value added (% of GDP)",0.0890937019969278
"Personal remittances, received (% of GDP)",0.08755760368663594
GDP growth (annual %),0.03686635944700461
Population density (people per sq. km of land area),0.004608294930875576
